screen_name,fav,rt,tweet,truncated,tweet_url
realDonaldTrump,33708,8881,"Experts stated that the Fed should not have tightened, and then waited too long to undo their mistake. James Bullar… https://t.co/UKa9el1lWR",True,https://twitter.com/realDonaldTrump/status/1156720638377308160
DanCrenshawTX,40456,8761,"More debates tonight! What’s the next radically bad idea?

4 hr work days are a human right?

Ban ambition and pers… https://t.co/yxYgAhZ8VW",True,https://twitter.com/DanCrenshawTX/status/1156684061957509120
thecjpearson,10806,4809,"I’m so close to 300,000 followers! For my birthday, can you guys help me close the gap? 

I’m a young black man who… https://t.co/Sc4g4gFTY4",True,https://twitter.com/thecjpearson/status/1156653320527912961
BarstoolBigCat,2516,5401,Giving away all of my VERY REAL #Madden20 Madden Codes at 830 eastern. Do these 3 things and I’ll pick winners then… https://t.co/uR4x4zHVjX,True,https://twitter.com/BarstoolBigCat/status/1156705296695398405
pulte,17400,7583,"If @realDonaldTrump retweets this, my team and I will give Two Beautiful Cars to Two Beautiful Veterans on Twitter. @DanScavino",False,https://twitter.com/pulte/status/1156664456849625088
DevinNunes,8350,4863,"Climate activist celebrities arrive at 'Google Camp' by yachts, helicopters, and private jets https://t.co/u4JW4Vx2Yl",False,https://twitter.com/DevinNunes/status/1156757664551993344
AndrewYang,21155,4364,"I’ve done the MATH. In 2014, immigrants paid over $328 billion in taxes. Scapegoating them for problems they have n… https://t.co/jyePjL51bG",True,https://twitter.com/AndrewYang/status/1156740066745696256
DonaldJTrumpJr,11420,3139,"So one side offers opportunity and prosperity with record low unemployment, the other side wants to take your plast… https://t.co/KnV6nRkWlT",True,https://twitter.com/DonaldJTrumpJr/status/1156733384669978624
realDonaldTrump,64235,12152,....I am very happy for Eddie Gallagher and his family!,False,https://twitter.com/realDonaldTrump/status/1156655542280118277
realDonaldTrump,65604,23718,The Radical Left Dems went after me for using the words “drug-infested” concerning Baltimore. Take a look at Elijah… https://t.co/Z11wCzzgGB,True,https://twitter.com/realDonaldTrump/status/1156685887268380676
w_terrence,36944,9694,"Hollywood bullies made Mario Lopez apologized for saying a 3 years old Shouldn’t be a transgender

At 3 I didn’t kn… https://t.co/G1lt6MfRbv",True,https://twitter.com/w_terrence/status/1156682354280357889
ComedyCentral,52115,14636,"Nah, last time there was a joke at a debate it became president. https://t.co/7glq9lfUwS",False,https://twitter.com/ComedyCentral/status/1156735192670920705
realDonaldTrump,56179,13070,What the Market wanted to hear from Jay Powell and the Federal Reserve was that this was the beginning of a lengthy… https://t.co/TLR23NXwAz,True,https://twitter.com/realDonaldTrump/status/1156666163310530560
zackfox,62002,20957,kill a cop save a life https://t.co/dblDJYHEyN,False,https://twitter.com/zackfox/status/1156640405712097282
AOC,18884,5138,"This is huge problem for many communities, from PR to WV.

“Coal waste” is a nice word for ash. It piles up in moun… https://t.co/q5PddkfFeQ",True,https://twitter.com/AOC/status/1156703819927052293
realDonaldTrump,32170,9090,“The 99% Get a Bigger Raise” https://t.co/negNLaSwMt,False,https://twitter.com/realDonaldTrump/status/1156680281912426497
abbydphillip,15089,6034,"Ben Carson goes to Baltimore to hold a press conference defending Trump, but a local church kicked him off their pr… https://t.co/I18oJ1EJLh",True,https://twitter.com/abbydphillip/status/1156638224414138371
thecjpearson,10812,4809,"I’m so close to 300,000 followers! For my birthday, can you guys help me close the gap? 

I’m a young black man who… https://t.co/Sc4g4gFTY4",True,https://twitter.com/thecjpearson/status/1156653320527912961
JoyceWhiteVance,33985,8054,"With all due respect, if you’re a Democrat &amp; you can win a Senate seat that would otherwise go to the GOP, that should be your race.",False,https://twitter.com/JoyceWhiteVance/status/1156739205881577473
RyanAFournier,17459,4754,"Children shouldn’t be deciding if they want to be a boy or a girl.

God already did that for them.",False,https://twitter.com/RyanAFournier/status/1156719742461386752
chrislhayes,18250,5130,WE LITERALLY DID A SEGMENT TONIGHT ABOUT HOW THEY'VE SEPARATED 900 MORE CHILDREN SINCE THEY SAID THEY ENDED IT. https://t.co/G4emEpC9GW,False,https://twitter.com/chrislhayes/status/1156743262247501824
DanCrenshawTX,40462,8763,"More debates tonight! What’s the next radically bad idea?

4 hr work days are a human right?

Ban ambition and pers… https://t.co/yxYgAhZ8VW",True,https://twitter.com/DanCrenshawTX/status/1156684061957509120
realDonaldTrump,69837,15505,The Prosecutors who lost the case against SEAL Eddie Gallagher (who I released from solitary confinement so he coul… https://t.co/hW4qgEv2mC,True,https://twitter.com/realDonaldTrump/status/1156655361711071232
PrisonPlanet,35809,13515,"Barack Obama, Prince Harry, Leonardo DiCaprio, Katy Perry &amp; over a hundred others have flown to Italy to discuss 'g… https://t.co/UUgUiMBovQ",True,https://twitter.com/PrisonPlanet/status/1156664391741444096
realDonaldTrump,53978,12473,"....As usual, Powell let us down, but at least he is ending quantitative tightening, which shouldn’t have started i… https://t.co/knw2FP0Eni",True,https://twitter.com/realDonaldTrump/status/1156666164732473345
realDonaldTrump,70322,20642,The cages for kids were built by the Obama Administration in 2014. He had the policy of child separation. I ended i… https://t.co/WMAfEMjwvv,True,https://twitter.com/realDonaldTrump/status/1156742970105892864
kurteichenwald,6418,4943,"You know, if everyone following me wrote a tweet in response to this  with the phrase #MoscowMitch in it, it would… https://t.co/B8VlShrzXI",True,https://twitter.com/kurteichenwald/status/1156621145287905281
AOC,18901,5141,"This is huge problem for many communities, from PR to WV.

“Coal waste” is a nice word for ash. It piles up in moun… https://t.co/q5PddkfFeQ",True,https://twitter.com/AOC/status/1156703819927052293
RyanAFournier,18155,5853,"BREAKING: In a rare move, the Federal Reserve has just cut interest rates for the first time since 2008 because of… https://t.co/7XevsCpte5",True,https://twitter.com/RyanAFournier/status/1156629583489355777
billboard,11997,5984,"It’s been 5 years since Red Velvet (@RVsmtown) made their debut with ""Happiness"" in 2014, so we combed through thei… https://t.co/fFO6yETsOk",True,https://twitter.com/billboard/status/1156626306228019201
kylegriffin1,17851,5728,"As Trump tweets attacks at Don Lemon and CNN, remember that explosive devices were mailed to CNN just last year by… https://t.co/xj7QxVymAk",True,https://twitter.com/kylegriffin1/status/1156615520155832321
thecjpearson,10814,4810,"I’m so close to 300,000 followers! For my birthday, can you guys help me close the gap? 

I’m a young black man who… https://t.co/Sc4g4gFTY4",True,https://twitter.com/thecjpearson/status/1156653320527912961
NICKIMINAJ,39577,13699,"I know this is cliche but it’s one of the scariest realizations in life. No matter what you do for some ppl, they’l… https://t.co/KfhaYV8dnR",True,https://twitter.com/NICKIMINAJ/status/1156659624042360832
BrotherNature,57515,12934,Out here trying to make peace in the monkey community 😂 https://t.co/EbkX8xLJb9,False,https://twitter.com/BrotherNature/status/1156670059516850177
realDonaldTrump,62265,12896,....to information that may have been obtained from opposing lawyers and for giving immunity in a totally incompete… https://t.co/SE8wpL6CsS,True,https://twitter.com/realDonaldTrump/status/1156655478740606977
AndrewYang,21197,4366,"I’ve done the MATH. In 2014, immigrants paid over $328 billion in taxes. Scapegoating them for problems they have n… https://t.co/jyePjL51bG",True,https://twitter.com/AndrewYang/status/1156740066745696256
MariaBartiromo,9873,4020,I know one thing we are NOT as Americans we are not happy about wiretapping innocent Americans bc people in positio… https://t.co/6hy6BPMh8i,True,https://twitter.com/MariaBartiromo/status/1156714264532529152
Alyssa_Milano,13437,3936,"For some children—a free lunch at school—is the only food they will eat in a day. 

What kind of monster would take… https://t.co/sfmiEzP1QQ",True,https://twitter.com/Alyssa_Milano/status/1156679286482325505
ChrisEvans,356881,59581,"Wow. The complete lack of sympathy, respect, and general awareness is astonishing. Also, I would carry my kid throu… https://t.co/sM1rqXb4Cp",True,https://twitter.com/ChrisEvans/status/1156649642844725249
RoKhanna,41787,9496,"When students attend public colleges and universities, here’s what they pay on average: 

🇩🇰 Denmark: $0
🇪🇪 Estonia… https://t.co/g8RAYBuwg0",True,https://twitter.com/RoKhanna/status/1156656527119388675
RealCandaceO,61826,17872,PSA: Bullying people into issuing public statements of apology so that they can keep their careers— because they st… https://t.co/HNIE9HAWiJ,True,https://twitter.com/RealCandaceO/status/1156634286147043328
realDonaldTrump,53987,12475,"....As usual, Powell let us down, but at least he is ending quantitative tightening, which shouldn’t have started i… https://t.co/knw2FP0Eni",True,https://twitter.com/realDonaldTrump/status/1156666164732473345
w_terrence,45813,24696,"BREAKING NEWS❗️

Mario Lopez is under attack for saying Parents Shouldn’t Raise a 3 Year old as Transgender

A 3 ye… https://t.co/U6PMg3aYbh",True,https://twitter.com/w_terrence/status/1156612392035540994
AOC,18914,5144,"This is huge problem for many communities, from PR to WV.

“Coal waste” is a nice word for ash. It piles up in moun… https://t.co/q5PddkfFeQ",True,https://twitter.com/AOC/status/1156703819927052293
thecjpearson,10817,4810,"I’m so close to 300,000 followers! For my birthday, can you guys help me close the gap? 

I’m a young black man who… https://t.co/Sc4g4gFTY4",True,https://twitter.com/thecjpearson/status/1156653320527912961
JoyAnnReid,17917,5975,"Every day, Trump; is making the presidency smaller, more corrupt and more irrelevant to the moral life of this coun… https://t.co/HghLNe1TYN",True,https://twitter.com/JoyAnnReid/status/1156681426726727680
RepJoeKennedy,21490,6853,Our President is a gruesome iteration of the schoolyard bully -- taking lunch money from kids who can't fight back. https://t.co/s0ocSObrMA,False,https://twitter.com/RepJoeKennedy/status/1156626509446156288
AsheSchow,21601,8767,"Kirsten Gillibrand: “The first thing I would do is Clorox the Oval Office.”

Also Gillibrand: https://t.co/XgsItyXx0W",False,https://twitter.com/AsheSchow/status/1156742931220295680
NICKIMINAJ,39598,13706,"I know this is cliche but it’s one of the scariest realizations in life. No matter what you do for some ppl, they’l… https://t.co/KfhaYV8dnR",True,https://twitter.com/NICKIMINAJ/status/1156659624042360832
SaraCarterDC,5684,4277,Exactly what has been happening and continues to happen - indoctrination and propaganda to turn our children agains… https://t.co/eLLbGyuInL,True,https://twitter.com/SaraCarterDC/status/1156631057183268864
adam22,63727,14295,He said kids shouldn’t become trans at age 3 and this is how Complex titles it https://t.co/0ID5AxBirm,False,https://twitter.com/adam22/status/1156602275403464704
hannibalburess,74258,9003,What is this??? https://t.co/SYREKUMQZj,False,https://twitter.com/hannibalburess/status/1156706011442552833
ChrisEvans,357049,59605,"Wow. The complete lack of sympathy, respect, and general awareness is astonishing. Also, I would carry my kid throu… https://t.co/sM1rqXb4Cp",True,https://twitter.com/ChrisEvans/status/1156649642844725249
BetteMidler,34449,10750,"Mitch McConnell doesn’t like the moniker #MoscowMitch or being called a #RussianAsset.  Well, Mitch, if the shoe fi… https://t.co/EmLmhoTiWR",True,https://twitter.com/BetteMidler/status/1156570891062583304
DanaSchwartzzz,66424,14940,It's funny how we romanticize pilgrims crossing dangerous oceans and pioneers traversing the country in covered wag… https://t.co/5sBSm4cxPR,True,https://twitter.com/DanaSchwartzzz/status/1156591968346001409
ComedyCentral,52762,14821,"Nah, last time there was a joke at a debate it became president. https://t.co/7glq9lfUwS",False,https://twitter.com/ComedyCentral/status/1156735192670920705
w_terrence,37005,9716,"Hollywood bullies made Mario Lopez apologized for saying a 3 years old Shouldn’t be a transgender

At 3 I didn’t kn… https://t.co/G1lt6MfRbv",True,https://twitter.com/w_terrence/status/1156682354280357889
realDonaldTrump,70426,20676,The cages for kids were built by the Obama Administration in 2014. He had the policy of child separation. I ended i… https://t.co/WMAfEMjwvv,True,https://twitter.com/realDonaldTrump/status/1156742970105892864
kurteichenwald,6421,4944,"You know, if everyone following me wrote a tweet in response to this  with the phrase #MoscowMitch in it, it would… https://t.co/B8VlShrzXI",True,https://twitter.com/kurteichenwald/status/1156621145287905281
billboard,12010,5987,"It’s been 5 years since Red Velvet (@RVsmtown) made their debut with ""Happiness"" in 2014, so we combed through thei… https://t.co/fFO6yETsOk",True,https://twitter.com/billboard/status/1156626306228019201
AOC,18933,5146,"This is huge problem for many communities, from PR to WV.

“Coal waste” is a nice word for ash. It piles up in moun… https://t.co/q5PddkfFeQ",True,https://twitter.com/AOC/status/1156703819927052293
chrislhayes,18298,5141,WE LITERALLY DID A SEGMENT TONIGHT ABOUT HOW THEY'VE SEPARATED 900 MORE CHILDREN SINCE THEY SAID THEY ENDED IT. https://t.co/G4emEpC9GW,False,https://twitter.com/chrislhayes/status/1156743262247501824
NICKIMINAJ,39614,13713,"I know this is cliche but it’s one of the scariest realizations in life. No matter what you do for some ppl, they’l… https://t.co/KfhaYV8dnR",True,https://twitter.com/NICKIMINAJ/status/1156659624042360832
halsey,57317,11434,"you know,
the good die young,
but so did this,
so it must be better 
than we think it is.",False,https://twitter.com/halsey/status/1156745085070897153
adam22,63781,14302,He said kids shouldn’t become trans at age 3 and this is how Complex titles it https://t.co/0ID5AxBirm,False,https://twitter.com/adam22/status/1156602275403464704
barstoolsports,56127,9234,"This Water Park Tsunami Operator turned it up to MAX 

https://t.co/lMkvKNI04E",False,https://twitter.com/barstoolsports/status/1156585428662796288
halsey,43047,2866,I usually favor the darkest of the dark songs on the record but my favorite song right now actually has a hint of b… https://t.co/il7k7AXLad,True,https://twitter.com/halsey/status/1156570450593374208
BernieSanders,112124,22971,"I'm angry because multi-millionaires like you and Trump have rigged our economy at the middle class' expense.

I'm… https://t.co/APs5YMBJfn",True,https://twitter.com/BernieSanders/status/1156594006421385216
realDonaldTrump,98047,23193,"If I hadn’t won the 2016 Election, we would be in a Great Recession/Depression right now. The people I saw on stage… https://t.co/YG9PJsusiM",True,https://twitter.com/realDonaldTrump/status/1156570437188497410
BetteMidler,34458,10753,"Mitch McConnell doesn’t like the moniker #MoscowMitch or being called a #RussianAsset.  Well, Mitch, if the shoe fi… https://t.co/EmLmhoTiWR",True,https://twitter.com/BetteMidler/status/1156570891062583304
w_terrence,45831,24701,"BREAKING NEWS❗️

Mario Lopez is under attack for saying Parents Shouldn’t Raise a 3 Year old as Transgender

A 3 ye… https://t.co/U6PMg3aYbh",True,https://twitter.com/w_terrence/status/1156612392035540994
tribelaw,39321,9390,.@PeteButtigieg: “When the sun sets on your career and they are writing your story — of all the good and bad things… https://t.co/Y7qIK6ssrI,True,https://twitter.com/tribelaw/status/1156508368447709184
stephenfry,61925,5233,"Oh my, Rebecca. And right by your clam ... heaven bless us all. I am greatly honoured. Important I dedicate the res… https://t.co/iMeXpPvS4E",True,https://twitter.com/stephenfry/status/1156493366357573632
JoyceWhiteVance,34107,8072,"With all due respect, if you’re a Democrat &amp; you can win a Senate seat that would otherwise go to the GOP, that should be your race.",False,https://twitter.com/JoyceWhiteVance/status/1156739205881577473
charliekirk11,17921,9365,RT if you think CNN should ask Joe Biden about Hunter Biden's billion dollar deal with China while he was Vice Pres… https://t.co/XMGDTUpqHA,True,https://twitter.com/charliekirk11/status/1156719566002593792
NICKIMINAJ,39630,13715,"I know this is cliche but it’s one of the scariest realizations in life. No matter what you do for some ppl, they’l… https://t.co/KfhaYV8dnR",True,https://twitter.com/NICKIMINAJ/status/1156659624042360832
kurteichenwald,6420,4943,"You know, if everyone following me wrote a tweet in response to this  with the phrase #MoscowMitch in it, it would… https://t.co/B8VlShrzXI",True,https://twitter.com/kurteichenwald/status/1156621145287905281
RyanAFournier,18161,5856,"BREAKING: In a rare move, the Federal Reserve has just cut interest rates for the first time since 2008 because of… https://t.co/7XevsCpte5",True,https://twitter.com/RyanAFournier/status/1156629583489355777
thecjpearson,10820,4810,"I’m so close to 300,000 followers! For my birthday, can you guys help me close the gap? 

I’m a young black man who… https://t.co/Sc4g4gFTY4",True,https://twitter.com/thecjpearson/status/1156653320527912961
KEEMSTAR,12059,7973,"Sunday Fifa ???

(RT) if you agree",False,https://twitter.com/KEEMSTAR/status/1156669561506291717
ColourPopCo,19277,16800,"💜A Family Affair #GIVEAWAY 💜
 
Have you heard of our new sister brand @SolBodyCo?  We are giving away a $250 Colour… https://t.co/6gIX62Kou5",True,https://twitter.com/ColourPopCo/status/1156595481994244097
NAACP,27417,16962,"Hate crimes have risen by 226% in counties that hosted a 
Trump rally in 2016. 

Two. Hundred. Twenty. Six. 

Let t… https://t.co/1lU9IWG71r",True,https://twitter.com/NAACP/status/1156379712178008066
BernieSanders,112162,22979,"I'm angry because multi-millionaires like you and Trump have rigged our economy at the middle class' expense.

I'm… https://t.co/APs5YMBJfn",True,https://twitter.com/BernieSanders/status/1156594006421385216
realDonaldTrump,114595,21510,....or is he too dumb (stupid} to understand that. No wonder CNN’s ratings (MSNBC’s also) have gone down the tubes… https://t.co/OSWIDodI7K,True,https://twitter.com/realDonaldTrump/status/1156588093367083009
realDonaldTrump,56239,13076,What the Market wanted to hear from Jay Powell and the Federal Reserve was that this was the beginning of a lengthy… https://t.co/TLR23NXwAz,True,https://twitter.com/realDonaldTrump/status/1156666163310530560
BetteMidler,34465,10754,"Mitch McConnell doesn’t like the moniker #MoscowMitch or being called a #RussianAsset.  Well, Mitch, if the shoe fi… https://t.co/EmLmhoTiWR",True,https://twitter.com/BetteMidler/status/1156570891062583304
realDonaldTrump,155994,32341,"CNN’s Don Lemon, the dumbest man on television, insinuated last night while asking a debate “question” that I was a… https://t.co/9MqfpVD9x8",True,https://twitter.com/realDonaldTrump/status/1156588090456256512
RealCandaceO,61872,17886,PSA: Bullying people into issuing public statements of apology so that they can keep their careers— because they st… https://t.co/HNIE9HAWiJ,True,https://twitter.com/RealCandaceO/status/1156634286147043328
realDonaldTrump,70526,20695,The cages for kids were built by the Obama Administration in 2014. He had the policy of child separation. I ended i… https://t.co/WMAfEMjwvv,True,https://twitter.com/realDonaldTrump/status/1156742970105892864
realDonaldTrump,33815,8901,"Experts stated that the Fed should not have tightened, and then waited too long to undo their mistake. James Bullar… https://t.co/UKa9el1lWR",True,https://twitter.com/realDonaldTrump/status/1156720638377308160
ewarren,39446,6605,"I’m proposing a two-cent wealth tax on the 75,000 wealthiest families—those worth over $50 million. We’d use that t… https://t.co/2n4US16xWX",True,https://twitter.com/ewarren/status/1156385966099193861
JoyceWhiteVance,34126,8079,"With all due respect, if you’re a Democrat &amp; you can win a Senate seat that would otherwise go to the GOP, that should be your race.",False,https://twitter.com/JoyceWhiteVance/status/1156739205881577473
stephenfry,61949,5237,"Oh my, Rebecca. And right by your clam ... heaven bless us all. I am greatly honoured. Important I dedicate the res… https://t.co/iMeXpPvS4E",True,https://twitter.com/stephenfry/status/1156493366357573632
PeteButtigieg,32108,5276,"This is a country that once changed its Constitution so you couldn’t drink, and changed it back because we changed… https://t.co/8esWnHmWiO",True,https://twitter.com/PeteButtigieg/status/1156374007660392448
kylegriffin1,17860,5729,"As Trump tweets attacks at Don Lemon and CNN, remember that explosive devices were mailed to CNN just last year by… https://t.co/xj7QxVymAk",True,https://twitter.com/kylegriffin1/status/1156615520155832321
